Cu,Fe,Cr,Al,Si,Pb,Sn,Ni,Na,B,P,Zn,Mo,Ca,Mg,TBN,V100,V40,OXI,TAN,delta_visc_40,metal_sum,iron_to_copper_ratio,water_flag,antifreeze_flag,label
2,9,0,0,3,12,4,0,11,0,69,54,0,209,0,1.56,14.99,152.7,1,0.0,2.6999999999999886,27,4.5,0,0,normal
5,9,1,1,3,17,1,0,13,4,67,34,3,421,0,2.78,14.2,161.9,1,0.09,11.900000000000006,34,1.8,0,0,normal
10,13,0,2,1,27,1,0,1,5,46,85,1,218,1,2.65,11.94,150.6,10,0.14,0.5999999999999943,53,1.3,0,0,normal
7,13,0,0,3,22,5,0,3,6,61,11,3,198,2,1.26,13.02,162.1,6,0.05,12.099999999999994,47,1.86,0,0,oil_change_needed
9,6,0,0,2,22,3,0,4,3,46,82,1,130,1,0.97,12.46,150.6,0,0.17,0.5999999999999943,40,0.67,0,0,oil_change_needed
3,9,1,1,1,19,3,1,17,4,65,56,0,482,3,1.51,13.7,133.1,12,0.1,-16.900000000000006,36,3.0,0,0,normal
4,14,0,0,3,14,2,0,5,3,50,58,0,491,2,2.11,15.36,154.0,0,0.14,4.0,34,3.5,0,0,normal
5,13,1,0,1,21,2,0,2,4,38,14,2,114,2,1.27,13.05,157.7,3,0.08,7.699999999999989,42,2.6,0,0,oil_change_needed
2,12,0,2,3,23,1,0,11,2,48,66,0,211,2,2.17,11.64,170.1,9,0.1,20.099999999999994,40,6.0,0,0,oil_change_needed
2,7,0,0,5,14,4,0,10,0,48,41,0,188,1,1.86,15.01,164.7,9,0.09,14.699999999999989,27,3.5,0,0,oil_change_needed
1,12,0,0,1,14,1,0,16,4,31,65,0,103,2,2.89,14.0,141.1,12,0.06,-8.900000000000006,28,12.0,0,0,normal
3,12,0,0,3,22,2,0,3,0,40,18,1,238,3,3.02,15.01,173.3,8,0.08,23.30000000000001,39,4.0,0,0,oil_change_needed
2,14,0,1,5,25,3,1,9,3,56,81,1,157,1,3.18,12.22,160.6,5,0.09,10.599999999999994,45,7.0,1,0,water_contamination
2,11,0,2,3,26,0,0,1,3,34,32,1,291,2,1.47,17.06,155.0,7,0.02,5.0,41,5.5,0,0,normal
3,9,0,2,1,25,2,1,18,5,51,65,3,447,1,0.86,14.58,161.1,12,0.13,11.099999999999994,41,3.0,0,0,oil_change_needed
9,12,0,3,3,11,6,1,12,2,36,34,1,203,4,2.08,12.77,157.8,6,0.17,7.800000000000011,41,1.33,0,0,normal
1,9,1,1,2,21,4,0,0,2,60,49,0,101,0,0.68,15.26,161.2,0,0.07,11.199999999999989,37,9.0,0,0,oil_change_needed
2,12,0,0,4,11,0,0,13,2,51,33,0,209,0,-0.06,14.69,156.2,7,0.11,6.199999999999989,25,6.0,0,0,oil_change_needed
3,17,0,1,1,14,0,1,7,5,54,35,1,394,2,1.65,11.45,171.4,7,0.08,21.40000000000001,35,5.67,0,0,oil_change_needed
8,10,0,3,1,15,2,0,10,2,56,41,0,144,2,0.76,14.06,141.3,13,0.11,-8.699999999999989,38,1.25,0,0,oil_change_needed
6,10,0,2,0,18,0,0,0,3,43,40,1,315,1,2.17,14.34,155.9,7,0.1,5.900000000000006,36,1.67,1,0,water_contamination
3,7,0,0,6,23,0,0,10,3,37,25,0,337,1,2.1,13.12,148.8,5,0.04,-1.1999999999999886,33,2.33,0,0,dirt_in_oil
6,10,0,0,1,34,1,0,17,4,54,69,1,424,3,3.68,13.67,153.3,5,0.15,3.300000000000012,51,1.67,0,0,machine_depreciation
8,9,0,2,3,19,7,0,13,3,30,43,0,428,1,2.05,14.91,146.4,5,0.07,-3.5999999999999943,45,1.12,0,0,normal
6,11,0,0,1,22,1,0,5,5,48,41,2,172,1,3.28,12.35,154.0,5,0.07,4.0,40,1.83,0,0,normal
7,16,0,1,2,28,1,0,0,1,36,45,1,416,2,2.22,14.3,173.1,0,0.18,23.099999999999994,53,2.29,0,0,oil_change_needed
6,10,0,2,1,23,1,0,0,3,32,94,0,199,0,1.28,12.36,154.0,13,0.21,4.0,42,1.67,0,0,sludge_formation
3,11,0,1,3,16,3,0,9,1,31,57,1,202,1,1.44,16.52,138.0,10,0.12,-12.0,34,3.67,0,0,normal
6,9,1,0,2,23,0,0,9,4,67,24,1,271,1,2.16,14.48,173.7,1,0.08,23.69999999999999,39,1.5,0,0,oil_change_needed
5,14,0,4,1,19,1,0,0,5,61,79,1,168,3,2.7,16.9,154.7,11,0.07,4.699999999999989,43,2.8,0,0,normal
4,9,0,0,1,17,0,0,10,1,68,56,2,245,2,0.98,14.73,162.7,5,0.1,12.699999999999989,30,2.25,0,0,oil_change_needed
4,14,0,2,2,24,1,0,17,0,53,75,2,291,1,1.26,15.17,139.1,9,0.12,-10.900000000000006,45,3.5,0,0,normal
7,7,1,1,2,20,2,0,4,4,37,20,1,249,1,2.84,14.53,138.5,0,0.06,-11.5,38,1.0,0,0,oil_change_needed
6,9,0,2,2,16,3,0,12,3,42,72,0,367,1,1.45,14.72,160.6,4,0.08,10.599999999999994,36,1.5,0,0,normal
6,9,1,0,3,29,1,1,4,5,64,76,0,279,1,1.51,12.4,154.3,7,0.09,4.300000000000011,46,1.5,0,0,normal
5,4,0,0,2,34,3,1,13,5,31,40,0,480,1,2.53,15.08,159.7,9,0.17,9.699999999999989,46,0.8,0,0,machine_depreciation
0,7,1,0,4,20,4,0,0,1,32,77,2,314,1,3.97,14.79,147.3,11,-0.01,-2.6999999999999886,32,0.0,0,0,normal
6,14,0,2,3,17,1,0,15,1,41,60,0,499,2,1.86,12.57,140.0,6,0.1,-10.0,40,2.33,0,0,normal
5,4,0,3,0,25,1,0,4,5,48,16,0,172,1,1.44,14.0,164.0,3,0.05,14.0,38,0.8,0,0,oil_change_needed
2,9,0,1,2,30,1,0,5,1,32,80,1,444,6,1.85,13.6,151.5,12,0.1,1.5,43,4.5,0,0,normal
8,6,1,0,2,16,0,0,12,3,48,37,1,312,0,1.43,12.35,162.7,8,0.18,12.699999999999989,31,0.75,0,0,oil_change_needed
3,13,0,2,2,31,1,1,18,1,56,13,0,316,0,2.51,14.06,159.1,1,0.15,9.099999999999994,50,4.33,0,0,machine_depreciation
2,9,0,1,4,16,1,0,18,4,34,21,1,426,3,0.56,13.14,149.8,6,0.05,-0.1999999999999886,29,4.5,0,0,oil_change_needed
1,14,1,1,2,18,1,0,17,5,69,82,2,239,3,1.82,16.26,136.1,3,0.13,-13.900000000000006,36,14.0,0,0,normal
7,10,0,0,2,22,0,0,9,4,35,11,1,293,1,1.96,16.8,141.9,7,0.11,-8.099999999999994,39,1.43,0,0,oil_change_needed
6,13,0,3,1,23,1,0,19,3,54,78,1,333,4,2.24,12.59,153.7,8,0.18,3.6999999999999886,46,2.17,0,0,normal
3,12,0,0,1,22,4,0,19,0,48,75,2,285,3,2.28,13.38,156.5,9,0.12,6.5,41,4.0,0,0,normal
4,15,0,1,2,22,1,0,0,3,68,54,0,111,1,1.59,12.65,150.7,9,0.1,0.6999999999999886,43,3.75,0,0,normal
4,7,0,3,2,29,0,0,4,5,42,30,1,442,1,2.97,15.75,138.9,11,0.05,-11.099999999999994,43,1.75,0,0,normal
3,10,0,3,4,18,1,0,12,4,31,60,1,102,3,2.74,14.0,146.1,14,0.05,-3.9000000000000057,35,3.33,0,0,normal
5,14,0,0,1,22,2,0,12,3,36,86,0,190,3,2.0,14.14,135.2,2,0.15,-14.800000000000011,43,2.8,0,0,normal
3,9,1,1,2,19,2,1,17,2,48,94,0,168,6,2.21,17.49,152.8,13,0.03,2.800000000000012,35,3.0,0,0,normal
4,16,0,0,2,15,3,0,15,4,51,13,3,204,1,1.89,13.64,169.3,7,0.08,19.30000000000001,38,4.0,0,0,oil_change_needed
6,12,0,1,0,19,3,0,13,3,36,44,0,127,3,2.12,14.94,151.5,7,0.09,1.5,41,2.0,0,0,normal
4,7,1,0,2,14,2,0,2,5,68,18,0,172,0,1.15,15.49,156.8,0,0.09,6.800000000000011,28,1.75,0,0,oil_change_needed
3,8,1,0,1,19,3,0,1,3,66,41,1,380,3,2.8,13.44,160.3,8,0.1,10.300000000000011,34,2.67,0,0,normal
3,13,0,0,5,24,1,0,3,4,65,88,0,426,4,2.07,14.09,170.1,4,0.11,20.099999999999994,41,4.33,0,0,oil_change_needed
3,9,1,1,2,26,3,0,12,5,68,99,0,364,0,1.28,16.35,155.3,8,0.09,5.300000000000011,43,3.0,0,0,normal
4,8,0,1,3,15,2,0,19,4,45,14,0,389,2,0.19,14.56,167.6,6,0.12,17.599999999999994,30,2.0,0,0,sludge_formation
6,14,0,1,1,23,1,0,12,7,43,57,1,425,1,2.46,15.83,165.3,12,0.15,15.300000000000011,45,2.33,0,0,oil_change_needed
2,11,0,0,7,9,2,0,2,2,36,43,2,196,3,2.3,10.35,152.0,4,0.11,2.0,24,5.5,0,0,dirt_in_oil
1,7,1,0,2,22,3,0,2,4,57,39,2,194,3,2.2,12.88,164.5,5,0.12,14.5,34,7.0,0,0,oil_change_needed
2,14,0,0,3,23,2,0,1,3,61,81,1,389,2,1.84,15.07,152.1,5,0.12,2.0999999999999943,41,7.0,0,0,normal
2,1,0,0,2,30,3,0,19,8,42,45,0,161,1,2.35,17.46,144.9,9,0.05,-5.099999999999994,36,0.5,0,0,normal
7,11,1,1,4,17,0,0,10,5,49,17,1,162,2,3.12,12.81,162.3,6,0.03,12.300000000000011,37,1.57,0,0,oil_change_needed
6,12,1,1,0,21,2,0,0,3,37,95,1,336,2,3.64,15.48,146.3,6,0.08,-3.6999999999999886,43,2.0,0,0,normal
2,11,0,2,1,11,3,1,0,5,43,50,4,103,1,2.6,9.67,135.2,5,0.09,-14.800000000000011,29,5.5,0,0,normal
6,7,0,2,2,23,2,1,15,2,61,73,1,130,4,2.33,15.83,150.2,11,0.12,0.1999999999999886,40,1.17,0,0,normal
7,16,1,0,0,20,3,0,8,5,45,92,0,320,2,2.37,17.34,150.5,3,0.08,0.5,47,2.29,0,0,normal
4,13,0,1,2,15,3,0,0,1,39,88,1,333,1,2.56,15.61,161.3,0,0.11,11.300000000000011,36,3.25,0,0,normal
13,9,0,2,1,21,0,0,0,3,63,92,0,480,2,2.04,14.86,160.3,9,0.08,10.300000000000011,45,0.69,0,0,normal
3,9,0,0,2,15,1,0,11,5,33,54,1,174,4,4.39,16.31,151.0,2,0.07,1.0,28,3.0,0,0,normal
4,9,0,0,1,16,0,0,17,2,31,67,1,102,1,3.28,14.59,138.2,7,0.12,-11.800000000000011,29,2.25,0,0,normal
8,8,1,2,1,23,0,0,18,3,40,37,1,102,4,4.07,14.54,130.4,10,0.14,-19.599999999999994,42,1.0,0,0,normal
3,15,0,0,0,22,2,0,18,2,53,13,2,265,1,2.62,14.53,157.7,7,0.03,7.699999999999989,42,5.0,0,0,oil_change_needed
5,12,0,0,0,12,1,0,4,4,58,25,1,371,1,2.79,14.9,171.6,13,0.09,21.599999999999994,30,2.4,0,0,oil_change_needed
7,7,0,3,2,14,1,0,15,5,59,77,2,451,4,2.17,13.72,131.3,13,0.09,-18.69999999999999,32,1.0,0,0,normal
5,8,0,0,4,24,2,1,3,2,36,36,0,397,0,2.41,13.07,157.3,13,0.03,7.300000000000011,39,1.6,0,1,normal
3,9,0,2,0,16,4,0,7,5,31,41,1,311,3,3.52,13.97,139.6,13,0.06,-10.400000000000006,34,3.0,0,0,normal
7,10,0,3,2,20,0,0,10,0,37,58,0,146,2,-0.1,14.15,155.9,1,0.11,5.900000000000006,40,1.43,0,0,oil_change_needed
4,8,0,2,4,15,4,0,8,3,58,29,0,381,0,0.49,14.19,144.2,1,0.05,-5.800000000000011,33,2.0,0,0,oil_change_needed
2,6,1,0,3,14,3,0,0,4,67,51,0,313,2,3.25,14.01,147.8,5,0.07,-2.1999999999999886,26,3.0,0,0,normal
9,9,1,2,1,25,1,0,18,1,40,97,1,225,0,4.24,14.61,161.7,14,0.08,11.699999999999989,47,1.0,0,0,normal
4,9,0,2,3,21,0,0,3,6,66,72,1,372,0,2.71,13.94,152.5,6,0.15,2.5,36,2.25,0,0,normal
8,12,0,3,2,19,2,0,6,4,38,52,1,293,4,1.69,14.45,152.8,12,0.17,2.800000000000012,44,1.5,0,0,normal
4,7,1,0,3,18,2,0,0,3,51,65,0,285,3,1.58,14.85,167.5,8,0.14,17.5,32,1.75,0,0,oil_change_needed
7,8,0,0,1,20,3,0,19,2,47,30,3,320,1,2.35,15.23,148.3,1,0.04,-1.6999999999999886,38,1.14,0,0,normal
4,10,1,1,3,18,3,0,7,1,66,40,0,272,1,2.33,16.11,156.2,13,0.16,6.199999999999989,37,2.5,0,0,normal
4,14,0,2,1,22,1,0,6,3,51,86,2,211,4,1.07,15.71,165.0,0,0.1,15.0,43,3.5,0,0,oil_change_needed
4,14,0,1,1,24,3,0,12,1,30,41,2,220,1,2.87,14.73,166.1,11,0.13,16.099999999999994,46,3.5,0,0,oil_change_needed
2,9,0,0,1,23,2,0,6,8,30,51,2,470,2,1.62,14.24,152.2,6,0.05,2.1999999999999886,36,4.5,0,0,normal
3,7,1,2,0,20,5,0,16,5,58,41,1,200,2,1.22,14.01,151.6,4,-0.07,1.5999999999999943,38,2.33,0,0,normal
11,7,1,2,1,16,4,0,7,2,40,72,4,205,0,1.87,13.24,154.3,5,0.11,4.300000000000011,41,0.64,0,0,normal
4,8,0,1,1,21,1,0,9,4,33,89,1,406,2,1.47,15.36,152.2,1,0.09,2.1999999999999886,35,2.0,0,0,normal
5,9,0,1,2,19,1,0,7,1,59,21,1,437,0,1.11,16.46,155.7,3,0.16,5.699999999999989,35,1.8,1,0,water_contamination
7,10,0,1,3,17,2,0,12,3,31,50,0,263,4,1.51,13.28,129.2,4,0.09,-20.80000000000001,37,1.43,0,1,normal
7,8,0,1,1,22,2,0,8,2,53,69,1,307,2,2.28,15.68,140.3,7,0.13,-9.699999999999989,40,1.14,0,0,normal
5,14,1,4,3,9,4,0,19,7,64,91,0,282,3,2.7,12.9,161.6,4,0.08,11.599999999999994,37,2.8,0,0,normal
6,9,1,0,0,24,3,0,7,3,35,87,0,228,3,2.47,15.24,159.9,3,0.11,9.900000000000006,43,1.5,0,0,normal
3,12,0,1,2,25,1,0,0,1,55,35,1,276,0,1.42,13.15,156.7,6,0.09,6.699999999999989,42,4.0,0,0,normal
7,11,0,0,1,17,2,0,4,4,51,28,2,227,3,0.9,14.73,142.4,3,0.12,-7.599999999999994,37,1.57,0,0,oil_change_needed
0,10,1,1,2,18,4,0,15,2,42,72,2,254,1,2.35,15.42,136.5,9,0.18,-13.5,34,0.0,0,0,normal
4,13,0,2,3,24,3,0,18,4,69,66,0,410,1,3.1,14.7,133.3,8,0.04,-16.69999999999999,46,3.25,0,0,normal
8,6,1,1,0,31,0,0,13,3,37,17,0,169,5,1.73,13.7,153.2,0,0.05,3.1999999999999886,47,0.75,0,0,machine_depreciation
4,12,0,0,3,16,1,1,1,5,34,12,1,216,4,2.4,14.84,160.8,0,0.11,10.800000000000011,33,3.0,0,0,oil_change_needed
1,7,0,4,1,16,2,1,2,2,65,27,0,299,1,0.37,14.92,159.7,9,0.13,9.699999999999989,30,7.0,0,0,oil_change_needed
1,13,0,1,3,24,5,0,10,4,32,61,0,202,4,0.64,14.51,168.9,3,0.12,18.90000000000001,44,13.0,0,1,sludge_formation
3,10,0,1,4,16,1,1,14,2,35,89,1,129,0,0.35,15.89,139.5,0,0.0,-10.5,31,3.33,0,0,oil_change_needed
4,8,0,1,3,17,1,0,11,2,45,21,1,179,0,3.53,17.25,145.4,4,0.11,-4.599999999999994,31,2.0,0,0,oil_change_needed
3,11,0,1,2,27,1,1,8,4,61,53,0,139,2,0.78,14.24,144.0,3,0.12,-6.0,43,3.67,0,0,oil_change_needed
3,9,0,1,3,19,2,0,4,4,37,93,0,262,0,1.41,17.89,144.6,3,0.09,-5.400000000000006,34,3.0,0,0,normal
6,9,0,0,0,26,0,1,2,3,44,67,2,169,2,-0.11,13.73,161.2,3,0.11,11.199999999999989,41,1.5,0,0,oil_change_needed
4,7,0,1,2,17,0,1,16,3,61,67,0,186,4,1.45,15.57,145.6,9,0.08,-4.400000000000006,29,1.75,0,0,normal
2,7,1,1,2,24,3,0,6,5,47,52,1,341,0,4.06,15.72,152.8,3,0.13,2.800000000000012,38,3.5,0,0,normal
4,9,1,2,5,13,3,1,11,6,47,26,0,476,1,1.71,14.45,128.5,7,0.04,-21.5,32,2.25,0,0,oil_change_needed
4,15,0,2,2,13,1,0,4,2,55,44,1,160,1,3.28,14.35,169.2,14,0.15,19.19999999999999,35,3.75,0,0,oil_change_needed
2,12,1,0,0,19,2,1,15,4,52,95,0,313,0,3.36,14.23,157.1,2,0.11,7.099999999999994,36,6.0,0,0,normal
8,16,1,1,1,19,1,0,15,1,42,16,1,114,2,1.57,15.41,130.8,8,0.05,-19.19999999999999,46,2.0,0,0,oil_change_needed
6,11,1,1,0,20,1,0,17,2,68,75,0,298,0,0.55,12.62,168.2,10,0.06,18.19999999999999,40,1.83,0,0,sludge_formation
4,11,0,1,3,22,4,0,19,3,39,58,0,210,1,3.15,11.55,148.4,12,0.14,-1.5999999999999943,42,2.75,0,0,normal
7,8,0,2,0,14,2,0,16,2,41,22,0,228,4,2.61,12.54,165.6,3,0.07,15.599999999999994,33,1.14,0,0,oil_change_needed
3,4,1,1,0,20,2,1,15,5,34,85,1,431,2,2.15,12.98,165.8,12,0.12,15.800000000000011,31,1.33,0,0,oil_change_needed
4,9,0,2,1,15,3,1,17,2,67,82,1,189,4,1.67,12.8,178.2,8,0.05,28.19999999999999,33,2.25,0,0,oil_change_needed
4,12,1,1,0,13,0,0,9,2,63,69,0,119,1,2.64,15.63,143.2,13,0.05,-6.800000000000011,31,3.0,0,0,normal
5,5,0,1,0,20,3,0,18,1,36,29,3,347,0,1.38,14.56,169.2,8,-0.01,19.19999999999999,34,1.0,1,0,water_contamination
4,11,0,0,1,20,2,0,11,1,47,36,0,331,6,3.36,13.49,144.0,3,0.09,-6.0,37,2.75,0,0,normal
6,7,0,1,0,19,7,0,1,1,33,38,0,181,2,2.66,15.59,158.0,10,0.07,8.0,40,1.17,0,0,normal
7,9,0,0,2,17,3,0,4,3,59,74,3,132,2,2.88,15.14,161.0,1,0.06,11.0,36,1.29,0,0,normal
12,13,0,1,1,14,4,0,9,2,67,10,0,234,3,1.03,15.54,157.8,4,0.07,7.800000000000011,44,1.08,0,0,oil_change_needed
9,9,0,0,0,19,4,0,12,4,49,40,0,393,6,1.87,15.25,153.7,5,0.09,3.6999999999999886,41,1.0,1,0,water_contamination
4,8,0,0,3,22,2,0,12,1,32,55,1,395,2,1.14,12.14,147.3,10,0.13,-2.6999999999999886,36,2.0,0,0,normal
5,8,0,0,4,14,3,1,11,2,31,30,1,117,4,2.55,13.36,162.2,11,0.1,12.199999999999989,30,1.6,0,0,oil_change_needed
7,9,0,0,2,21,3,0,14,4,49,36,0,347,2,1.97,15.62,157.8,6,0.15,7.800000000000011,40,1.29,0,0,normal
6,15,0,1,2,26,4,0,7,0,35,55,1,284,5,1.8,18.76,169.2,8,0.14,19.19999999999999,52,2.5,0,0,oil_change_needed
6,8,0,1,2,21,2,0,19,1,54,91,1,357,3,1.28,12.94,168.2,0,0.19,18.19999999999999,38,1.33,0,0,sludge_formation
3,16,0,0,4,24,2,1,4,4,31,50,0,137,0,1.78,12.87,163.7,10,0.13,13.699999999999989,45,5.33,0,0,oil_change_needed
6,14,0,2,1,24,1,0,18,5,44,13,1,149,4,0.63,13.1,157.9,9,0.12,7.900000000000006,47,2.33,0,0,oil_change_needed
9,8,0,0,1,17,1,1,10,6,64,45,2,136,2,2.15,14.77,149.6,10,0.09,-0.4000000000000057,35,0.89,0,0,normal
2,12,0,1,1,26,0,0,6,6,53,81,0,120,1,3.52,13.53,148.5,10,0.14,-1.5,41,6.0,0,0,normal
6,16,1,0,3,20,1,0,3,2,44,10,2,126,4,2.05,13.01,151.4,12,0.15,1.4000000000000057,44,2.67,0,0,oil_change_needed
6,12,0,0,3,21,1,0,11,3,61,17,2,461,2,2.14,13.38,136.3,9,0.06,-13.699999999999989,40,2.0,0,0,oil_change_needed
6,11,0,1,2,20,2,0,9,1,67,51,2,127,3,1.1,13.25,147.1,3,0.06,-2.9000000000000057,40,1.83,0,0,normal
6,11,0,2,2,19,2,0,11,0,30,85,0,357,4,2.98,13.63,147.9,5,0.04,-2.0999999999999943,40,1.83,0,0,normal
7,11,1,0,2,13,2,0,9,3,38,71,2,279,0,2.98,15.52,154.3,6,0.07,4.300000000000011,34,1.57,0,0,normal
9,14,0,0,0,22,0,0,0,6,44,84,0,165,2,2.55,18.18,141.9,9,0.23,-8.099999999999994,45,1.56,0,0,sludge_formation
2,13,0,2,1,22,1,0,12,6,60,91,1,198,1,2.2,13.9,166.4,6,0.13,16.400000000000006,40,6.5,0,0,oil_change_needed
3,10,1,1,5,17,2,0,2,1,41,17,0,136,0,1.99,12.77,142.1,6,0.02,-7.900000000000006,34,3.33,0,0,oil_change_needed
9,8,1,1,2,18,3,1,11,4,30,15,1,286,0,1.41,12.03,151.7,8,0.15,1.6999999999999886,40,0.89,0,0,oil_change_needed
4,12,0,0,1,14,1,0,2,3,34,77,1,499,4,2.72,13.22,134.9,10,0.13,-15.099999999999994,31,3.0,0,0,normal
6,8,0,2,1,26,4,1,4,2,54,32,2,128,1,4.08,12.01,144.8,14,0.15,-5.199999999999989,46,1.33,0,0,normal
6,20,0,1,1,18,5,0,9,2,55,77,3,317,2,0.28,14.3,159.0,1,0.14,9.0,50,3.33,0,0,oil_change_needed
11,7,0,1,3,23,2,1,0,2,69,32,1,428,2,3.52,12.56,151.1,7,0.0,1.0999999999999943,44,0.64,1,0,water_contamination
5,8,0,4,0,21,2,0,4,1,53,75,2,475,0,2.19,12.64,166.9,2,0.12,16.900000000000006,40,1.6,0,0,oil_change_needed
3,12,0,0,1,22,1,0,19,3,61,29,1,347,1,1.48,14.61,173.2,6,0.11,23.19999999999999,38,4.0,0,0,sludge_formation
3,14,0,0,2,29,2,1,7,1,65,28,2,222,7,1.99,12.59,161.9,7,0.02,11.900000000000006,48,4.67,0,0,oil_change_needed
3,10,0,2,3,14,1,0,8,3,60,22,1,206,1,1.83,14.85,146.0,10,0.13,-4.0,30,3.33,0,0,oil_change_needed
4,10,0,3,4,25,3,0,7,3,61,25,1,263,1,0.92,13.46,164.5,4,0.05,14.5,45,2.5,0,0,oil_change_needed
2,15,0,1,6,17,1,0,19,1,64,11,2,317,2,3.19,17.51,167.0,12,0.12,17.0,36,7.5,0,0,dirt_in_oil
2,4,0,0,3,18,1,0,1,3,42,78,1,308,0,2.37,14.71,136.9,7,0.14,-13.099999999999994,25,2.0,0,0,normal
9,9,0,0,1,20,3,1,7,3,57,57,2,477,2,1.58,14.37,161.6,1,-0.0,11.599999999999994,41,1.0,0,0,normal
4,12,0,2,1,16,4,0,4,5,55,44,1,221,4,1.15,12.22,138.1,9,0.13,-11.900000000000006,38,3.0,0,0,normal
5,7,0,2,0,27,3,1,8,9,62,88,0,329,1,1.9,17.2,142.3,14,0.06,-7.699999999999989,44,1.4,0,0,normal
4,4,0,2,1,23,4,0,4,5,44,65,1,253,4,3.88,15.97,165.0,11,0.09,15.0,37,1.0,1,0,water_contamination
3,8,1,1,5,19,1,0,5,3,69,53,2,166,2,3.61,16.78,155.3,5,0.05,5.300000000000011,33,2.67,0,0,normal
7,6,0,2,2,30,2,0,0,4,47,66,0,474,0,1.4,13.96,168.1,6,0.07,18.099999999999994,47,0.86,0,0,sludge_formation
2,11,0,1,1,19,2,1,14,4,40,74,1,191,1,2.34,12.54,160.9,3,0.11,10.900000000000006,35,5.5,0,0,normal
4,9,0,1,3,17,1,0,0,3,55,88,0,160,4,2.8,15.28,155.1,14,0.11,5.099999999999994,32,2.25,0,0,normal
8,12,0,1,4,26,4,0,14,1,30,55,1,233,4,4.06,17.04,169.9,13,0.13,19.90000000000001,51,1.5,0,0,oil_change_needed
4,6,0,1,1,23,2,1,9,1,57,77,1,462,2,3.11,14.33,157.3,7,0.16,7.300000000000011,36,1.5,0,0,normal
4,11,1,1,2,14,2,0,13,3,63,52,3,108,3,4.31,14.23,162.8,7,0.05,12.800000000000011,33,2.75,0,0,oil_change_needed
4,12,1,0,5,29,2,0,11,7,36,82,2,475,1,1.89,16.07,167.2,10,0.03,17.19999999999999,48,3.0,0,0,oil_change_needed
4,9,0,1,1,16,1,0,17,2,50,69,0,100,1,2.79,16.05,155.7,11,0.26,5.699999999999989,31,2.25,0,0,sludge_formation
4,7,0,1,0,14,2,0,2,6,50,95,2,279,3,0.83,15.36,166.9,6,0.07,16.900000000000006,28,1.75,0,0,sludge_formation
6,11,1,3,1,18,4,0,5,4,34,12,0,151,2,0.77,12.79,152.8,2,0.05,2.800000000000012,43,1.83,0,0,oil_change_needed
3,6,1,0,1,18,3,0,13,1,52,55,2,337,2,1.51,12.95,152.0,9,0.14,2.0,31,2.0,0,0,normal
4,9,1,0,1,20,0,0,2,2,56,39,0,337,3,2.66,13.03,146.7,5,0.01,-3.300000000000012,34,2.25,0,0,normal
8,14,0,0,3,16,1,0,15,2,33,60,1,194,1,1.96,14.6,141.2,2,0.09,-8.800000000000011,39,1.75,0,0,normal
7,13,0,2,3,13,0,0,10,4,52,97,0,160,2,4.03,12.38,143.9,7,0.12,-6.099999999999994,35,1.86,0,0,normal
2,14,0,0,0,18,3,0,12,5,54,84,2,417,1,2.69,13.51,162.9,5,0.12,12.900000000000006,37,7.0,0,0,oil_change_needed
3,13,1,1,1,23,2,1,5,1,52,24,0,192,0,1.48,16.04,155.4,12,0.13,5.400000000000006,43,4.33,0,0,oil_change_needed
3,12,0,0,1,14,0,0,15,2,53,72,0,374,2,2.56,14.65,166.7,12,0.13,16.69999999999999,29,4.0,0,0,oil_change_needed
3,9,0,0,1,24,4,0,13,2,34,37,1,273,3,1.05,13.13,149.3,8,0.02,-0.6999999999999886,40,3.0,0,0,normal
1,15,1,1,3,22,1,0,19,2,38,82,0,223,1,2.67,12.22,147.7,5,0.1,-2.300000000000012,41,15.0,0,0,normal
5,6,0,1,0,24,3,0,12,5,43,47,2,422,1,2.23,14.18,149.8,2,0.09,-0.1999999999999886,39,1.2,0,0,normal
6,10,0,2,4,17,3,0,12,2,62,27,3,168,3,4.06,14.96,153.4,3,0.06,3.4000000000000057,38,1.67,0,0,oil_change_needed
7,11,1,2,1,21,3,0,6,2,64,38,0,332,3,2.08,14.36,159.2,3,0.02,9.199999999999989,45,1.57,0,0,normal
7,12,1,0,1,22,1,0,12,4,64,95,0,254,3,0.84,13.34,137.9,6,0.09,-12.099999999999994,43,1.71,0,0,oil_change_needed
8,9,0,0,2,20,2,0,7,2,51,65,1,134,1,2.73,13.17,172.8,7,0.17,22.80000000000001,39,1.12,0,0,oil_change_needed
8,9,0,1,4,15,2,0,6,2,46,25,3,247,2,2.13,14.99,182.3,9,0.16,32.30000000000001,35,1.12,0,0,oil_change_needed
5,12,0,2,3,19,0,0,16,6,56,57,0,140,1,0.59,14.82,155.3,11,0.11,5.300000000000011,38,2.4,0,0,oil_change_needed
10,11,0,1,2,10,2,0,15,1,49,59,1,113,1,-0.65,15.63,156.7,12,0.26,6.699999999999989,34,1.1,0,0,sludge_formation
5,8,1,2,4,22,3,0,6,5,62,60,3,494,2,2.67,14.69,158.3,14,0.01,8.300000000000011,41,1.6,0,0,normal
2,14,1,1,1,31,5,0,18,6,40,77,0,322,4,1.64,18.41,161.6,8,0.08,11.599999999999994,54,7.0,0,0,machine_depreciation
5,10,1,0,1,25,0,0,15,3,41,92,2,367,2,1.25,14.53,149.0,6,0.02,-1.0,41,2.0,0,0,normal
